age,education,marital-status,race,workclass,education-num,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,income
*,No-Degree,Not-Partnered,White,Private,10,Prof-specialty,Own-child,Female,0,0,10,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Exec-managerial,Husband,Male,0,0,60,United-States,<=50K
*,No-Degree,Partnered,White,Private,2,Craft-repair,Husband,Male,0,0,40,Portugal,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Handlers-cleaners,Own-child,Male,0,0,25,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,0,0,45,United-States,<=50K
*,No-Degree,Partnered,Black,Private,7,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,5,Priv-house-serv,Own-child,Male,0,0,40,Mexico,<=50K
*,No-Degree,Partnered,White,Private,10,Other-service,Husband,Male,0,0,55,Mexico,<=50K
*,No-Degree,Not-Partnered,White,Private,2,Machine-op-inspct,Own-child,Male,0,0,40,Puerto-Rico,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,4,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Not-in-family,Male,0,0,50,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Transport-moving,Husband,Male,0,0,48,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,5,Sales,Own-child,Female,0,0,32,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Prof-specialty,Husband,Male,7688,0,40,United-States,>50K
*,No-Degree,Partnered,White,Private,10,Exec-managerial,Husband,Male,0,0,60,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Exec-managerial,Unmarried,Female,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Private,5,Machine-op-inspct,Husband,Male,2228,0,37,United-States,<=50K
*,No-Degree,Partnered,White,Private,5,Machine-op-inspct,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Partnered,White,?,10,?,Wife,Female,0,0,25,United-States,<=50K
*,Degree,Partnered,White,Private,13,Prof-specialty,Husband,Male,0,0,45,Canada,>50K
*,No-Degree,Partnered,White,Private,9,Handlers-cleaners,Husband,Male,0,0,40,United-States,>50K
*,Degree,Partnered,White,Private,11,Transport-moving,Husband,Male,3103,0,55,United-States,>50K
*,Degree,Partnered,White,Self-emp-not-inc,14,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,Other,Private,10,Adm-clerical,Own-child,Female,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,11,Tech-support,Other-relative,Female,0,0,36,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Prof-specialty,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Exec-managerial,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Tech-support,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Own-child,Female,0,0,30,United-States,<=50K
*,Degree,Partnered,White,Private,16,Prof-specialty,Husband,Male,0,1977,50,United-States,>50K
*,No-Degree,Partnered,White,Local-gov,9,Transport-moving,Wife,Female,4064,0,22,United-States,<=50K
*,No-Degree,Partnered,White,?,10,?,Wife,Female,0,0,1,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Craft-repair,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,Black,Federal-gov,10,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,12,Transport-moving,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,10,Sales,Other-relative,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,Asian-Pac-Islander,Private,14,Tech-support,Husband,Male,0,0,40,Philippines,>50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,10,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,Black,Local-gov,12,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Amer-Indian-Eskimo,Private,10,Tech-support,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Adm-clerical,Husband,Male,0,2051,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Other-relative,Female,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,10,Prof-specialty,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Sales,Not-in-family,Female,0,0,15,United-States,<=50K
*,Degree,Not-Partnered,White,Private,12,Adm-clerical,Own-child,Female,0,0,20,United-States,<=50K
*,Degree,Not-Partnered,White,Private,11,Tech-support,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Federal-gov,10,Tech-support,Own-child,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Other-service,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Exec-managerial,Own-child,Female,0,0,45,United-States,<=50K
*,No-Degree,Partnered,Asian-Pac-Islander,Private,6,Craft-repair,Husband,Male,0,0,42,China,<=50K
*,No-Degree,Not-Partnered,White,State-gov,9,Adm-clerical,Not-in-family,Female,0,0,40,England,<=50K
*,No-Degree,Not-Partnered,Black,?,10,?,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,4,Other-service,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Self-emp-inc,9,Exec-managerial,Husband,Male,15024,0,55,United-States,>50K
*,No-Degree,Partnered,White,Local-gov,9,Exec-managerial,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Protective-serv,Husband,Male,0,0,40,United-States,>50K
*,Degree,Partnered,White,Private,13,Transport-moving,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Federal-gov,13,Adm-clerical,Husband,Male,0,0,45,Germany,>50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Own-child,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Self-emp-inc,11,Exec-managerial,Husband,Male,0,0,60,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Own-child,Male,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,6,Other-service,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Not-in-family,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,12,Prof-specialty,Unmarried,Female,0,0,45,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,10,?,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,10,Farming-fishing,Own-child,Male,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Tech-support,Not-in-family,Female,0,0,10,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Transport-moving,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,8,Other-service,Own-child,Male,0,0,18,United-States,<=50K
*,No-Degree,Partnered,White,?,6,?,Husband,Male,0,0,1,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Sales,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,5,Machine-op-inspct,Husband,Male,0,0,40,Mexico,<=50K
*,Degree,Partnered,Black,Private,11,Exec-managerial,Wife,Female,0,0,43,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Transport-moving,Not-in-family,Male,0,0,20,Haiti,<=50K
*,Degree,Partnered,White,Private,11,Exec-managerial,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Craft-repair,Not-in-family,Male,0,0,45,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,10,Exec-managerial,Husband,Male,0,0,60,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Sales,Husband,Male,0,0,45,United-States,<=50K
*,Degree,Partnered,White,Private,14,Sales,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Other-service,Not-in-family,Male,0,0,48,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Other-service,Unmarried,Female,0,0,45,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,10,Exec-managerial,Husband,Male,0,0,60,United-States,<=50K
*,Degree,Partnered,White,Private,12,Machine-op-inspct,Husband,Male,0,0,40,United-States,>50K
*,Degree,Partnered,White,Private,14,Prof-specialty,Wife,Female,15024,0,50,United-States,>50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Machine-op-inspct,Husband,Male,0,0,70,?,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,10,Sales,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,6,Farming-fishing,Unmarried,Male,0,0,70,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Handlers-cleaners,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,6,Sales,Own-child,Female,0,0,12,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,8,Other-service,Own-child,Male,0,0,16,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Machine-op-inspct,Not-in-family,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,0,0,35,United-States,>50K
*,Degree,Not-Partnered,White,?,14,?,Not-in-family,Female,0,0,15,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,10,Exec-managerial,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,2,Other-service,Husband,Male,0,0,38,Cuba,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,9,Exec-managerial,Unmarried,Male,0,0,55,United-States,<=50K
*,Degree,Partnered,White,Private,14,Prof-specialty,Husband,Male,0,0,38,United-States,>50K
*,Degree,Not-Partnered,White,Private,13,Exec-managerial,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Not-in-family,Female,0,0,30,United-States,<=50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,0,0,60,Greece,>50K
*,No-Degree,Not-Partnered,White,Private,10,Transport-moving,Not-in-family,Female,0,0,24,United-States,<=50K
*,Degree,Partnered,White,Private,14,Prof-specialty,Other-relative,Male,0,0,60,?,<=50K
*,No-Degree,Not-Partnered,White,Private,2,Priv-house-serv,Not-in-family,Female,0,0,40,Guatemala,<=50K
*,No-Degree,Not-Partnered,White,Private,6,Other-service,Own-child,Male,0,0,6,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Handlers-cleaners,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Transport-moving,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,Amer-Indian-Eskimo,Private,9,Other-service,Other-relative,Female,0,0,36,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Own-child,Male,2174,0,40,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Exec-managerial,Husband,Male,0,0,8,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Other-service,Own-child,Male,0,1602,24,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,6,Other-service,Own-child,Male,0,0,11,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Adm-clerical,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Machine-op-inspct,Own-child,Male,0,0,25,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,10,?,Unmarried,Female,0,0,20,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Craft-repair,Husband,Male,0,0,40,?,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Farming-fishing,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Craft-repair,Husband,Male,5013,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,12,Craft-repair,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,6,Machine-op-inspct,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Handlers-cleaners,Husband,Male,0,0,40,Mexico,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,6,Sales,Husband,Male,0,0,30,United-States,<=50K
*,Degree,Partnered,White,Private,14,Sales,Husband,Male,0,0,50,United-States,<=50K
*,Degree,Not-Partnered,White,Private,14,Prof-specialty,Not-in-family,Female,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Transport-moving,Not-in-family,Male,3325,0,53,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Farming-fishing,Husband,Male,0,0,60,United-States,<=50K
*,Degree,Partnered,White,Private,13,Craft-repair,Husband,Male,0,0,60,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,7,Sales,Own-child,Female,0,0,20,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Partnered,Black,Private,4,Craft-repair,Not-in-family,Male,0,0,50,Dominican-Republic,<=50K
*,Degree,Partnered,White,State-gov,13,Prof-specialty,Husband,Male,0,0,38,United-States,>50K
*,No-Degree,Not-Partnered,Black,Local-gov,4,Other-service,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,10,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Craft-repair,Not-in-family,Male,2907,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,10,Machine-op-inspct,Husband,Male,3103,0,40,United-States,>50K
*,Degree,Not-Partnered,White,Self-emp-not-inc,14,Sales,Not-in-family,Male,10520,0,45,United-States,>50K
*,No-Degree,Partnered,White,Private,2,Farming-fishing,Husband,Male,0,0,85,Mexico,<=50K
*,No-Degree,Not-Partnered,Amer-Indian-Eskimo,Private,9,Other-service,Not-in-family,Male,0,0,30,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Transport-moving,Husband,Male,0,0,45,United-States,<=50K
*,No-Degree,Partnered,Black,Private,6,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,14,Sales,Husband,Male,15024,0,45,United-States,>50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,6,Craft-repair,Not-in-family,Male,0,0,40,Greece,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-inc,9,Sales,Unmarried,Male,1151,0,50,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,State-gov,9,Exec-managerial,Not-in-family,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,Local-gov,5,Adm-clerical,Other-relative,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Prof-specialty,Wife,Female,0,0,20,United-States,>50K
*,Degree,Not-Partnered,Black,Private,13,Sales,Own-child,Female,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Male,0,0,30,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Own-child,Female,0,0,45,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Local-gov,12,Protective-serv,Husband,Male,5013,0,45,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Adm-clerical,Other-relative,Female,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,Asian-Pac-Islander,Private,10,Adm-clerical,Own-child,Female,0,0,15,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Transport-moving,Own-child,Male,0,0,30,United-States,<=50K
*,Degree,Partnered,White,Federal-gov,13,Adm-clerical,Husband,Male,0,0,42,United-States,>50K
*,No-Degree,Partnered,White,Private,10,Craft-repair,Other-relative,Male,0,0,40,El-Salvador,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,45,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Exec-managerial,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Sales,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Partnered,Asian-Pac-Islander,Private,9,Transport-moving,Wife,Female,0,0,20,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,10,Craft-repair,Husband,Male,0,0,24,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Other-service,Husband,Male,0,0,50,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Exec-managerial,Not-in-family,Male,0,0,50,United-States,<=50K
*,Degree,Partnered,Black,Private,11,Adm-clerical,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,9,Craft-repair,Unmarried,Male,27828,0,55,United-States,>50K
*,No-Degree,Not-Partnered,Black,Private,10,Machine-op-inspct,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Own-child,Male,0,0,25,Greece,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Exec-managerial,Not-in-family,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Other-service,Own-child,Female,0,0,16,United-States,<=50K
*,No-Degree,Partnered,White,Local-gov,10,Adm-clerical,Wife,Female,0,0,44,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Exec-managerial,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,?,7,?,Husband,Male,0,0,3,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,>50K
*,Degree,Partnered,White,Self-emp-inc,14,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Machine-op-inspct,Not-in-family,Female,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,6,Other-service,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,9,?,Unmarried,Female,0,0,20,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Transport-moving,Husband,Male,0,0,60,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Unmarried,Male,0,0,45,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,10,Tech-support,Husband,Male,0,0,38,United-States,>50K
*,Degree,Not-Partnered,White,Private,14,Prof-specialty,Not-in-family,Male,4650,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Transport-moving,Own-child,Male,0,1719,30,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,10,?,Own-child,Female,0,0,35,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Sales,Husband,Male,0,0,50,United-States,>50K
*,No-Degree,Partnered,White,Private,10,Sales,Husband,Male,0,0,55,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Prof-specialty,Wife,Female,0,0,32,United-States,>50K
*,No-Degree,Not-Partnered,Black,Local-gov,9,Handlers-cleaners,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,Black,Private,13,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Adm-clerical,Not-in-family,Female,14084,0,16,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Sales,Not-in-family,Male,0,0,35,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Own-child,Male,0,0,55,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Sales,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Craft-repair,Not-in-family,Male,0,0,48,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Other-service,Wife,Female,0,0,30,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,6,Handlers-cleaners,Not-in-family,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Prof-specialty,Husband,Male,0,0,55,United-States,>50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Not-in-family,Male,0,0,50,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,5,Sales,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Local-gov,10,Craft-repair,Husband,Male,0,1740,40,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Exec-managerial,Husband,Male,0,0,60,United-States,<=50K
*,Degree,Partnered,White,Private,13,Prof-specialty,Wife,Female,0,0,36,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Tech-support,Own-child,Female,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Sales,Unmarried,Female,0,0,35,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Not-in-family,Male,0,0,50,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Not-in-family,Male,0,0,45,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Machine-op-inspct,Wife,Female,0,0,37,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,11,Craft-repair,Husband,Male,0,1740,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,2,Machine-op-inspct,Husband,Male,0,0,40,Mexico,<=50K
*,No-Degree,Partnered,White,Private,9,Other-service,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Own-child,Female,0,0,20,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Wife,Female,0,0,36,United-States,<=50K
*,No-Degree,Not-Partnered,White,State-gov,10,Exec-managerial,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Priv-house-serv,Unmarried,Female,0,0,28,?,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,9,Exec-managerial,Not-in-family,Male,0,0,50,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Exec-managerial,Husband,Male,0,1977,70,United-States,>50K
*,No-Degree,Not-Partnered,Black,Self-emp-not-inc,8,Craft-repair,Other-relative,Male,0,0,35,United-States,<=50K
*,Degree,Not-Partnered,White,Private,11,Transport-moving,Own-child,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Self-emp-inc,16,Prof-specialty,Husband,Male,7688,0,60,Canada,>50K
*,No-Degree,Not-Partnered,Black,Private,9,Machine-op-inspct,Other-relative,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Not-in-family,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,Asian-Pac-Islander,Private,3,Machine-op-inspct,Husband,Male,0,0,40,Laos,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,16,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,3,Farming-fishing,Husband,Male,0,0,24,Mexico,<=50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,0,0,45,United-States,<=50K
*,Degree,Partnered,White,?,16,?,Husband,Male,0,0,50,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Farming-fishing,Not-in-family,Male,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-inc,6,Transport-moving,Not-in-family,Male,0,2559,50,United-States,>50K
*,Degree,Partnered,Asian-Pac-Islander,Private,13,Exec-managerial,Husband,Male,0,0,50,Japan,>50K
*,No-Degree,Not-Partnered,White,Local-gov,9,Transport-moving,Own-child,Male,0,0,25,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Transport-moving,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,10,?,Own-child,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Exec-managerial,Husband,Male,0,0,50,United-States,>50K
*,Degree,Not-Partnered,White,Private,13,Other-service,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,6,Craft-repair,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Machine-op-inspct,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,Black,Private,13,Sales,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,5,Other-service,Own-child,Female,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Handlers-cleaners,Unmarried,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Female,0,0,35,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Tech-support,Own-child,Female,0,0,40,United-States,<=50K
